Satellite Name,Country,Operator,Purpose,Orbit Class,Launch Date,Expected Lifetime,Launch Mass (kg.)
DAMPE (Dark Matter Particle Explorer),China,Chinese Academy of Science,Space Science,LEO,2015-12-17,3.0,1850.0
"DCBB (Kaituo-1B, CAS-3G)",China,China Amateur Satellite - CAMSAT,Technology Development,LEO,2015-09-19,10.0,3.0
Deimos 1,Spain,Deimos Imaging/DMC International Imaging (DMCII),Earth Observation,LEO,2009-07-29,5.0,90.0
Deimos 2 ,Spain,Deimos Imaging/DMC International Imaging (DMCII),Earth Observation,LEO,2014-06-19,10.0,310.0
Delfi-C3 (DO-64),Netherlands,"Technical University, Delft",Technology Development,LEO,2008-04-28,10.0,6.5
DirecTV-10,USA,"DirecTV, Inc.",Communications,GEO,2007-07-07,15.0,5900.0
DirecTV-11,USA,"DirecTV, Inc.",Communications,GEO,2008-03-19,10.0,5900.0
DirecTV-12,USA,"DirecTV, Inc.",Communications,GEO,2009-12-29,15.0,5900.0
DirecTV-14,USA,"DirecTV, Inc.",Communications,GEO,2014-12-06,15.0,5900.0
DirecTV-15,USA,"DirecTV, Inc.",Communications,GEO,2015-05-27,15.0,5500.0
DirecTV-1R ,Russia,Russian Satellite Communications Co.,Communications,GEO,1999-10-10,15.0,3420.0
DirecTV-4S ,USA,"DirecTV, Inc.",Communications,GEO,2001-11-27,15.0,4300.0
DirecTV-5 (Tempo 1),USA,"DirecTV, Inc.",Communications,GEO,2002-05-07,15.0,4300.0
DirecTV-7S ,USA,"DirecTV, Inc. ",Communications,GEO,2004-05-04,15.0,5483.0
DirecTV-8,USA,"DirecTV, Inc.",Communications,GEO,2005-05-22,12.0,3800.0
DirecTV-9S,USA,"DirecTV, Inc.",Communications,GEO,2006-10-13,15.0,5500.0
DLR Tubsat ,Germany,Deutsches Zentrum für Luft- und Raumfahrt,Earth Science,LEO,1999-05-26,1.0,45.0
DMC 3-1 (Disaster Monitoring Constellation),United Kingdom,Surrey Satellite Technology Ltd.,Earth Observation,LEO,2015-07-10,10.0,447.0
DMC 3-2 (Disaster Monitoring Constellation),United Kingdom,Surrey Satellite Technology Ltd.,Earth Observation,LEO,2015-07-10,10.0,447.0
DMC 3-3 (Disaster Monitoring Constellation),United Kingdom,Surrey Satellite Technology Ltd.,Earth Observation,LEO,2015-07-10,10.0,447.0
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,DoD/NOAA,Earth Observation,LEO,1997-04-04,5.0,1134.0
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,DoD/NOAA,Earth Observation,LEO,1999-12-12,5.0,1152.0
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,DoD/NOAA,Earth Observation,LEO,2003-10-18,5.0,1154.0
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA,DoD/NOAA,Earth Observation,LEO,2006-11-04,5.0,1154.0
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,DoD/NOAA,Earth Observation,LEO,2009-10-18,5.0,1155.0
Dove 1c-1  (0 Flock 1C-1 0903),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-10  (0 Flock 1C-10 090C),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-11 (0 Flock 1C-11 090D),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-2  (0 Flock 1C-2 0904),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-3  (0 Flock 1C-3 0905),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-4  (0 Flock 1C-4 0906),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-5  (0 Flock 1C-5 0907),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-6  (0 Flock 1C-6 0908),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-7  90 Flock 1C-7 0909),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-8  (0 Flock 1C-8 090A),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1c-9  (0 Flock 1C-9 090B),USA,"Planet Labs, Inc.",Earth Observation,LEO,2014-06-19,10.0,4.0
Dove 1e-10  (0 Flock 1E-10 0B09),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-07-15,10.0,4.0
Dove 1e-11  (0 Flock 1E-11 0B1E),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-07-15,10.0,4.0
Dove 1e-12  (0 Flock 1E-12 0B0A),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-07-15,10.0,4.0
Dove 1e-13  (0 Flock 1E-13 0C07),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-07-16,10.0,4.0
Dove 1e-14  (0 Flock 1E-14 0B0F),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-07-16,10.0,4.0
Dove 1e-6  (0 Flock 1E-6 0B0B),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-07-15,10.0,4.0
Dove 1e-7  (0 Flock 1E-7 0B0E),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-07-14,10.0,4.0
Dove 2b-1 (0 Flock 2B-1 0C70),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-06,10.0,4.0
Dove 2b-10 (0 Flock 2B-10 0C64),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-07,10.0,4.0
Dove 2b-13 (0 Flock 2B-13 0C74),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-07,10.0,4.0
Dove 2b-14 (0 Flock 2B-14 0C47),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-07,10.0,4.0
Dove 2b-2 (0 Flock 2B-2 0C18),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-06,10.0,4.0
Dove 2b-3 (0 Flock 2B-3 0C53),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-06,10.0,4.0
Dove 2b-4 (0 Flock 2B-4 0C72),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-06,10.0,4.0
Dove 2b-5 (0 Flock 2B-5 0C73),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-06,10.0,4.0
Dove 2b-6 (0 Flock 2B-6 0C69),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-06,10.0,4.0
Dove 2b-7 (0 Flock 2B-7 0C66),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-06,10.0,4.0
Dove 2b-9 (0 Flock 2B-9 0C68),USA,"Planet Labs, Inc.",Earth Observation,LEO,2015-10-07,10.0,4.0
Dove 2e-1 (0 Flock 2E-1 0C37),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-05-17,10.0,4.0
Dove 2e-2 (0 Flock 2E-2 0C78),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-05-17,10.0,4.0
Dove 2e-3 (0 Flock 2E-3 0C60),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-05-17,10.0,4.0
Dove 2e-4 (0 Flock 2E-4 0C41),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-05-17,10.0,4.0
Dove 2ep-1 (0 Flock 2EP-1 0D05),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-05-17,10.0,4.0
Dove 2ep-2 (0 Flock 2EP-2 0C1B),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-05-17,10.0,4.0
Dove 2ep-3 (0 Flock 2EP-3 0D06),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-05-17,10.0,4.0
Dove 2ep-4 (0 Flock 2EP-4 0C22),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-05-17,10.0,4.0
Dove 2p-1 ( (0 Flock 2P-1 0E0D),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-2 (0 Flock 2P-2 (0e0E),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-3 (0 Flock 2P-3 (0E0F),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-4 (0 Flock 2P-4 0E14),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-5 (0 Flock 2P-5 0E16),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-6 (0 Flock 2P-6 0E19),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-7 (0 Flock 2P-7 0E1F),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-8 (0 Flock 2P-8 0E20),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-9 (0 Flock 2P-9 0E26),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-10 (0 Flock 2P-10 0E2F),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-11 (0 Flock 2P-11 0E30),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove 2p-12 (0 Flock 2P-12 0E3A),USA,"Planet Labs, Inc.",Earth Observation,LEO,2016-06-22,10.0,4.0
Dove-3,USA,"Planet Labs, Inc.",Technology Development,LEO,2013-11-21,10.0,4.0
"DRTS (Data Relay Test Satellite, Kodama)",Japan,National Space Development Agency,Technology Development,GEO,2002-09-10,7.0,2650.0
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",USA,US Air Force,Communications,GEO,2003-03-11,10.0,1156.0
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",USA,US Air Force,Communications,GEO,2003-08-29,10.0,1156.0
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",USA,US Air Force,Communications,GEO,1997-10-24,10.0,1156.0
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,US Air Force,Communications,GEO,2000-01-01,10.0,1156.0
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",USA,US Air Force,Communications,GEO,2000-10-20,10.0,1156.0
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,US Air Force,Communications,GEO,1995-07-31,10.0,1156.0
DSP 18 (USA 130) (Defense Support Program),USA,Air Force,Earth Observation,GEO,1997-02-23,5.0,2380.0
DSP 20 (USA 149) (Defense Support Program),USA,Air Force,Earth Observation,GEO,2000-05-18,7.0,2380.0
DSP 21 (USA 159) (Defense Support Program),USA,Air Force,Earth Observation,GEO,2001-08-06,7.0,2380.0
DSP 22 (USA 176) (Defense Support Program),USA,Air Force,Earth Observation,GEO,2004-02-14,7.0,2380.0
DubaiSat-1,United Arab Emirates,Emirates Institution for Advanced Science & Technology (EIAST),Earth Observation,LEO,2009-07-29,5.0,200.0
DubaiSat-2,United Arab Emirates,Emirates Institution for Advanced Science & Technology (EIAST),Earth Observation,LEO,2013-11-21,5.0,300.0
Duchifat-1,Israel,Herzliya Science Centre (HSC),Communications,LEO,2014-06-19,10.0,1.0
DX-1 (Dauria Experimental 1),Russia,Dauria Aerospace,Communications,LEO,2014-07-08,10.0,27.0
Echostar 1 ,Mexico,"QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC)",Communications,GEO,1995-12-28,12.0,3287.0
Echostar 10,USA,"Echostar Technologies, LLC",Communications,GEO,2006-02-15,15.0,4333.0
Echostar 11,USA,"Echostar Technologies, LLC",Communications,GEO,2008-07-16,15.0,5500.0
Echostar 12 (Rainbow-1) ,USA,"Echostar Technologies, LLC",Communications,GEO,2003-07-17,18.0,4328.0
Echostar 14,USA,"Echostar Technologies, LLC",Communications,GEO,2010-03-20,15.0,6384.0
Echostar 15,USA,"Echostar Technologies, LLC",Communications,GEO,2010-07-10,15.0,5521.0
Echostar 16,USA,"Echostar Technologies, LLC",Communications,GEO,2012-11-20,15.0,6658.0
Echostar 17,USA,"Echostar Technologies, LLC",Communications,GEO,2012-07-05,15.0,6100.0
Echostar 18,USA,"Echostar Technologies, LLC",Communications,GEO,2016-06-19,15.0,6300.0
Echostar 3 ,USA,"Echostar Technologies, LLC",Communications,GEO,1997-10-05,12.0,3674.0
Echostar 7 ,USA,"Echostar Technologies, LLC",Communications,GEO,2002-02-21,12.0,4027.0
Echostar 8 ,USA,"Echostar Technologies, LLC",Communications,GEO,2002-08-21,12.0,4660.0
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",USA,"Echostar Technologies, LLC/Intelsat ",Communications,GEO,2003-08-08,13.0,4000.0
"Echostar G1 (ICO G1, DBSD G1)",USA,Dish Network,Communications,GEO,2008-04-14,15.0,6600.0
"EKS-1 (Integrated Space System, Cosmos 2510, Tundra 11L)",Russia,Ministry of Defense,Earth Observation,Elliptical,2015-11-17,10.0,1200.0
Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2],Russia,    Roshydromet - Planeta,Earth Observation,GEO,2011-01-20,10.0,1766.0
Electro-L2 ,Russia, Roshydromet - Planeta,Earth Observation,GEO,2015-12-11,10.0,1800.0
ELISA-E12 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,2011-12-17,10.0,120.0
ELISA-E24 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,2011-12-17,10.0,120.0
ELISA-W11 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,2011-12-17,10.0,120.0
ELISA-W23 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,2011-12-17,10.0,120.0
EO-1 (Earth Observing 1),USA,NASA Earth Science Office,Earth Observation/Research,LEO,2000-11-21,5.0,572.0
EOS-AM Terra ,USA/Canada/Japan,Earth Sciences Enterprise (NASA),Earth Observation,LEO,1999-12-18,6.0,4854.0
EOS-CHEM Aura ,USA,Goddard Space Flight Center/EOS Data and Operations System,Earth Observation,LEO,2004-07-15,5.0,2967.0
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA/Japan/Brazil,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Earth Observation,LEO,2002-05-04,6.0,2934.0
EROS A1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Earth Observation,LEO,2000-12-05,6.0,240.0
EROS B1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Earth Observation,LEO,2006-04-25,10.0,350.0
e-st@r-2,Italy,Polytechnic of Turin,Technology Development,LEO,2016-04-25,10.0,1.0
Eurasiasat 1 (Turksat 2A),Turkey/France,Eurasiasat SAM/Alcatel Space,Communications,GEO,2001-01-10,15.0,3535.0
Eutelsat 10A (Eutelsat W-2A),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Communications,GEO,2009-04-03,15.0,5900.0
Eutelsat 113 West-A (Satmex 6),Multinational,Eutelsat Americas,Communications,GEO,2006-05-27,15.0,5456.0
Eutelsat 115 West-B,Multinational,Eutelsat S.A.,Communications,GEO,2015-03-02,15.0,1200.0
"Eutelsat 117 West A (Eutelsat 8 West C, Satmex 8)",Multinational,Eutelsat Americas,Communications,GEO,2013-03-26,15.0,5474.0
Eutelsat 117 West B,Multinational,Eutelsat Americas,Communications,GEO,2016-06-15,15.0,5500.0
Eutelsat 12 West-A (Atlantic Bird 1) ,Multinational,Eutelsat S.A.,Communications,GEO,2002-08-28,15.0,2700.0
Eutelsat 16A (Eutelsat W3C),Multinational,Eutelsat S.A.,Communications,GEO,2011-10-07,10.0,5400.0
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",Multinational,Eutelsat S.A.,Communications,GEO,2000-04-17,10.0,2500.0
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",Multinational,Eutelsat S.A.,Communications,GEO,2005-12-29,16.0,5000.0
Eutelsat 25B (Es’hail 1),Multinational,Eutelsat S.A./Es'hailSat,Communications,GEO,2013-08-29,15.0,1200.0
"Eutelsat 33A (Eurobird 3, E-bird) ",Multinational,Eutelsat S.A.,Communications,GEO,2003-09-27,10.0,1525.0
"Eutelsat 33B (Eutelsat 25C, Eutelsat 70A, Eutelsat W-5) ",Multinational,Eutelsat S.A.,Communications,GEO,2002-11-20,12.0,3170.0
"Eutelsat 33C (Eutelsat 28A, Eurobird 1, Eurosat 1)",Multinational,Eutelsat S.A.,Communications,GEO,2001-03-08,12.0,2950.0
Eutelsat 36A (Eutelsat W-4) ,Multinational,Eutelsat S.A.,Communications,GEO,2000-05-24,12.0,3190.0
Eutelsat 36B (Eutelsat W-7),Multinational,Eutelsat S.A.,Communications,GEO,2009-11-24,15.0,5600.0
Eutelsat 3B,Multinational,Eutelsat S.A.,Communications,GEO,2014-05-26,15.0,5967.0
"Eutelsat 48A (Eutelsat W-48, Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)",Multinational,Eutelsat S.A.,Communications,GEO,1996-11-21,14.0,2915.0
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",Multinational,Eutelsat S.A.,Communications,GEO,2012-11-10,15.0,5102.0
"Eutelsat 5 West-A (Atlantic Bird 3, Stellat 5)",Multinational,Eutelsat S.A.,Communications,GEO,2002-07-05,15.0,4050.0
Eutelsat 65 West-A,Multinational,Eutelsat S.A.,Communications,GEO,2016-03-09,15.0,6654.0
Eutelsat 7 West-A (Atlantic Bird 7),Multinational,Eutelsat S.A./Nilesat,Communications,GEO,2011-09-24,15.0,4600.0
Eutelsat 70B (Eutelsat W5A),Multinational,Eutelsat S.A.,Communications,GEO,2012-12-03,15.0,5250.0
Eutelsat 7A (Eutelsat W3A) ,Multinational,Eutelsat S.A.,Communications,GEO,2004-03-15,15.0,4300.0
Eutelsat 7B ,Multinational,Eutelsat S.A.,Communications,GEO,2013-05-14,15.0,5404.0
Eutelsat 8 West A (Atlantic Bird 2) ,Multinational,Eutelsat S.A.,Communications,GEO,2001-09-25,15.0,3150.0
Eutelsat 8 West B,Multinational,Eutelsat S.A./Nilesat,Communications,GEO,2015-08-20,15.0,5800.0
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",Multinational,Eutelsat S.A.,Communications,GEO,2002-08-28,12.0,3800.0
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",Multinational,Eutelsat S.A.,Communications,GEO,2006-03-11,15.0,4100.0
Eutelsat Hot Bird 13E (Eutelsat 9B),Multinational,Eutelsat S.A.,Communications,GEO,2016-01-29,15.0,5200.0
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",Multinational,Eutelsat S.A.,Communications,GEO,2009-02-11,15.0,4892.0
Eutelsat Hot Bird 13B (Hot Bird 8),Multinational,Eutelsat S.A.,Communications,GEO,2006-08-04,15.0,4900.0
Eutelsat Hot Bird 13C (Hot Bird 9),Multinational,Eutelsat S.A.,Communications,GEO,2008-12-20,15.0,4880.0
Eutelsat KA-SAT 9A (KA-SAT),Multinational,Eutelsat S.A.,Communications,GEO,2010-12-26,15.0,6150.0
exactView 1,Canada,exactEarth,Communications,LEO,2012-07-22,10.0,100.0
exactView 6 (AprizeSat 6),Canada,exactEarth,Communications,LEO,2011-08-17,10.0,12.0
exactView 9,Canada,exactEarth,Communications,LEO,2015-09-28,10.0,6.0
Express AM22 (Sesat 2),Russia/Multinational,Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Communications,GEO,2003-12-28,12.0,2600.0
Express AMU1 (Eutelsat 36C),Russia,Russian Satelite Communications Company (Intersputnik),Communications,GEO,2015-12-24,15.0,2700.0
"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2002-06-10,7.0,2600.0
Express-AM2,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2005-03-29,12.0,2542.0
Express-AM3,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2005-06-24,12.0,2600.0
Express-AM33,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2008-01-28,12.0,2600.0
Express-AM44,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2009-02-11,12.0,2532.0
Express-AM5,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2013-12-26,15.0,3400.0
Express-AM6,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2014-10-21,15.0,3358.0
Express-AM7,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2015-03-18,15.0,5720.0
Express-AM8,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2015-09-14,15.0,2100.0
Express-AT1,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2014-03-15,15.0,1726.0
Express-AT2,Russia,Russian Satellite Communications Company (Intersputnik),Communications,GEO,2014-03-15,15.0,1427.0
Falconsat-3,USA,US Air Force Academy,Technology Development,LEO,2007-03-09,10.0,46.0
"FAST 1 (Sara Lilly and Emma, USA 222)",USA,University of Texas - Austin,Technology Development,LEO,2010-11-20,10.0,55.0
Fengniao 1A (Hummingbird 1A),China,Chinese Academy of Space Technology (CAST),Technology Development,LEO,2012-11-20,10.0,160.0
Fengyun 2D (FY-2D),China,China Meteorological Administration,Earth Observation,GEO,2006-12-08,3.0,1390.0
Fengyun 2E (FY-2E),China,China Meteorological Administration,Earth Observation,GEO,2008-12-23,3.0,1390.0
Fengyun 2F (FY-2F),China,China Meteorological Administration,Earth Observation,GEO,2012-01-12,3.0,1390.0
Fengyun 2G (FY 2G),China,China Meteorological Administration,Earth Observation,GEO,2014-12-31,10.0,1390.0
Fengyun 3A (FY-3A),China,China Meteorological Administration,Earth Observation,LEO,2008-05-27,10.0,2300.0
Fengyun 3B (FY-3B),China,China Meteorological Administration,Earth Observation,LEO,2010-11-04,10.0,2300.0
Fengyun 3C (FY-3C),China,China Meteorological Administration,Earth Observation,LEO,2013-09-23,10.0,2300.0
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,NASA/GSFC,Space Science,LEO,2008-06-11,10.0,4303.0
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",USA,National Reconnaissance Office (NRO),Earth Observation,LEO,2010-09-21,10.0,1200.0
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",USA,National Reconnaissance Office (NRO),Earth Observation,LEO,2012-04-03,10.0,1200.0
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",USA,National Reconnaissance Office (NRO),Earth Observation,LEO,2013-12-06,10.0,1200.0
"FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4, NROL-45, USA 267, Topax)",USA,National Reconnaissance Office (NRO),Earth Observation,LEO,2016-02-10,10.0,1200.0
"Firebird-A (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Space Science,LEO,2013-12-06,3.0,2.0
"Firebird-B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Space Science,LEO,2013-12-06,3.0,2.0
"Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Space Science,LEO,2015-01-31,25.0,2.0
"Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Space Science,LEO,2015-01-31,25.0,2.0
Firefly,USA,NASA/Sienna College/Univ. of Maryland,Earth Science,LEO,2013-11-19,1.0,3.0
FLTSATCOM-8 (USA 46),USA,US Navy,Communications,GEO,1989-09-25,5.0,2310.0
"Formosat-2 (ROCSAT-2, Republic of China Satellite 2) ",Taiwan,National Space Program Office (NSPO),Earth Observation,LEO,2004-05-21,5.0,764.0
FORTÉ (Fast On-orbit Recording of Transient Events),USA,Los Alamos National Labs/DOE,Earth Observation,LEO,1997-08-29,3.0,215.0
Fox-1A (AO-85),USA,AMSAT-NA,Communications/Technology Development,LEO,2015-10-08,11.0,1.33
FUNCube-1 (AO-73),Netherlands,AMSAT-UK,Communications,LEO,2013-11-21,10.0,1.0
Galassia,Singapore,National University of Singapore,Earth Science,LEO,2015-12-16,10.0,3.4
Galaxy-11,USA,"PanAmSat (Intelsat, Ltd.)",Communications,GEO,1999-01-21,14.0,4488.0
Galaxy-12,USA,"PanAmSat (Intelsat, Ltd.)",Communications,GEO,2003-04-09,15.0,1760.0
"Galaxy-13 (Horizons 1, Galaxy 13L)",USA/Japan,"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.",Communications,GEO,2003-10-01,15.0,4060.0
Galaxy-14,USA,"PanAmSat (Intelsat, Ltd.)",Communications,GEO,2005-08-13,15.0,2086.0
Galaxy-15,USA,"PanAmSat (Intelsat, Ltd.)",Communications,GEO,2005-10-13,15.0,2033.0
Galaxy-16 ,USA,"PanAmSat (Intelsat, Ltd.)",Communications,GEO,2006-06-18,15.0,4640.0
Galaxy-17,USA,"Intelsat, Ltd.",Communications,GEO,2007-05-04,15.0,4100.0
Galaxy-18,USA,"Intelsat, Ltd.",Communications,GEO,2008-05-21,15.0,4642.0
Galaxy-19,USA,"Intelsat, Ltd.",Communications,GEO,2008-09-24,15.0,4690.0
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,"Intelsat, Ltd. ",Communications,GEO,1997-05-24,13.0,3515.0
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",USA,"Intelsat, Ltd.",Communications,GEO,2005-06-23,13.0,5493.0
Galaxy-3C,USA,"PanAmSat (Intelsat, Ltd.)/DirecTV L.A.",Communications,GEO,2002-06-15,15.0,4860.0
Galileo FOC FM1 (Galileo 5),ESA,European Space Agency,Navigation/Global Positioning,MEO,2014-08-22,12.0,733.0
Galileo FOC FM10 (Galileo 13),ESA,European Space Agency,Navigation/Global Positioning,MEO,2016-05-24,12.0,723.0
Galileo FOC FM11 (Galileo 14),ESA,European Space Agency,Navigation/Global Positioning,MEO,2016-05-24,12.0,723.0
Galileo FOC FM2 (Galileo 6),ESA,European Space Agency,Navigation/Global Positioning,MEO,2014-08-22,12.0,733.0
Galileo FOC FM3 (Galileo 7),ESA,European Space Agency,Navigation/Global Positioning,MEO,2015-03-27,12.0,723.0
Galileo FOC FM4 (Galileo 8),ESA,European Space Agency,Navigation/Global Positioning,MEO,2015-03-27,12.0,723.0
Galileo FOC FM5 (Galileo 9),ESA,European Space Agency,Navigation/Global Positioning,MEO,2015-09-11,12.0,723.0
Galileo FOC FM6 (Galileo 10),ESA,European Space Agency,Navigation/Global Positioning,MEO,2015-09-11,12.0,723.0
